customer_id,account_id,full_name,customer_type,country,occupation,declared_income,onboarding_channel,pep_flag,account_open_date
C0001,100001,Sean Murphy,Individual,Germany,Solicitor,101882,Branch,N,2025-03-02
C0002,100002,Noah Muller,Individual,Ireland,Solicitor,55394,Branch,N,2021-08-06
C0003,100003,Adam Gallagher,Individual,United Arab Emirates,Software Engineer,83779,Online,N,2022-04-11
C0004,100004,Tomasz O'Brien,Individual,Ireland,Consultant,96022,Online,N,2024-02-10
C0005,100005,Noah Muller,Business,Ireland,Nurse,36098,Online,N,2025-11-06
C0006,100006,Amara Murphy,Individual,Ireland,Solicitor,88105,Online,N,2023-07-28
C0007,100007,Aoife Nowak,Individual,Ireland,Solicitor,106903,Online,N,2023-06-12
C0008,100008,Ravi Okafor,Individual,Ireland,Electrician,51014,Online,N,2022-05-04
C0009,100009,Grace Nowak,Business,Ireland,Teacher,49836,Online,N,2024-08-19
C0010,100010,Sophie Walsh,Business,Ireland,Electrician,54298,Online,N,2023-12-28
C0011,100011,Sophie Doyle,Individual,Ireland,Software Engineer,87654,Branch,N,2022-12-17
C0012,100012,Emma Byrne,Individual,Ireland,Company Director,125658,Online,N,2024-05-19
C0013,100013,Marek Murphy,Individual,Germany,Electrician,37901,Online,N,2021-01-14
C0014,100014,Ravi Kowalski,Individual,Ireland,Teacher,48244,Branch,N,2023-05-31
C0015,100015,Sean Gallagher,Individual,Ireland,Solicitor,76064,Branch,N,2021-09-23
C0016,100016,Jack Nguyen,Individual,Ireland,Software Engineer,90363,Branch,N,2021-04-21
C0017,100017,Piotr Gallagher,Individual,Ireland,Accountant,69968,Online,N,2021-03-11
C0018,100018,Aoife Patel,Business,Panama,Accountant,71297,Online,N,2025-01-06
C0019,100019,Tomasz Silva,Individual,Ireland,Nurse,51444,Online,N,2023-03-02
C0020,100020,Grace Rossi,Individual,Netherlands,Software Engineer,66184,Online,N,2024-06-01
C0021,100021,Ana Muller,Business,Ireland,Nurse,45315,Branch,N,2025-08-31
C0022,100022,Daniel McCarthy,Individual,Ireland,Electrician,47567,Online,N,2025-04-30
C0023,100023,Chen O'Connor,Individual,Ireland,Consultant,46997,Online,N,2024-08-17
C0024,100024,Emma O'Brien,Individual,Panama,Software Engineer,68842,Branch,N,2025-12-06
C0025,100025,Grace Patel,Individual,Netherlands,Retail Assistant,28445,Online,N,2025-10-01
C0026,100026,Jack Silva,Individual,Ireland,Student,6968,Branch,N,2022-11-15
C0027,100027,Ana Byrne,Individual,Italy,Solicitor,73609,Branch,N,2023-02-24
C0028,100028,Cian Walsh,Individual,Ireland,Company Director,97201,Branch,N,2024-08-01
C0029,100029,Chen Muller,Business,Ireland,Consultant,56233,Online,N,2022-07-01
C0030,100030,Ava Nowak,Individual,Ireland,Electrician,57401,Branch,N,2024-01-07
C0031,100031,Daniel Kelly,Individual,Ireland,Nurse,59034,Branch,N,2023-01-23
C0032,100032,Chen Rossi,Individual,Ireland,Nurse,51940,Branch,N,2023-01-22
C0033,100033,Grace Muller,Individual,Ireland,Solicitor,123502,Branch,N,2025-06-12
C0034,100034,Marek Byrne,Business,Ireland,Solicitor,67765,Online,N,2021-02-25
C0035,100035,Conor O'Brien,Business,Ireland,Solicitor,97529,Branch,N,2021-07-19
C0036,100036,Daniel Muller,Individual,Ireland,Company Director,114690,Online,N,2022-07-21
C0037,100037,Aoife Byrne,Individual,United Arab Emirates,Retail Assistant,30108,Branch,N,2022-11-19
C0038,100038,Cian O'Brien,Business,Ireland,Solicitor,119051,Online,N,2025-03-17
C0039,100039,Ava Muller,Individual,Ireland,Nurse,38155,Branch,N,2024-12-26
C0040,100040,Adam O'Connor,Individual,Ireland,Electrician,58006,Online,N,2023-12-04
C0041,100041,Chen Muller,Individual,Spain,Company Director,155257,Branch,N,2021-06-25
C0042,100042,Conor O'Brien,Individual,Ireland,Software Engineer,58343,Branch,N,2024-08-10
C0043,100043,Ravi Patel,Individual,Ireland,Accountant,67778,Branch,N,2024-03-01
C0044,100044,Sophie O'Connor,Individual,Ireland,Software Engineer,90263,Online,N,2023-04-14
C0045,100045,Emma Nowak,Individual,Ireland,Nurse,51561,Online,N,2022-07-13
C0046,100046,Sophie Kelly,Individual,Italy,Student,8529,Online,N,2022-03-28
C0047,100047,Chen O'Brien,Business,Ireland,Student,10516,Branch,N,2022-07-01
C0048,100048,Ciara Okafor,Business,Germany,Electrician,38920,Branch,N,2024-08-28
C0049,100049,Chen Okafor,Individual,Ireland,Accountant,66697,Online,N,2021-11-27
C0050,100050,Grace Muller,Individual,Ireland,Software Engineer,73133,Branch,N,2021-06-26
C0051,100051,Piotr Muller,Business,Ireland,Software Engineer,69829,Online,N,2025-09-17
C0052,100052,Adam O'Brien,Individual,Ireland,Nurse,53739,Branch,N,2023-09-06
C0053,100053,Amara Nowak,Individual,Netherlands,Teacher,50991,Branch,N,2023-01-10
C0054,100054,Niamh Okafor,Individual,Italy,Teacher,50543,Branch,N,2021-12-27
C0055,100055,Ava McCarthy,Individual,France,Software Engineer,83852,Online,N,2022-09-14
C0056,100056,Ana Rossi,Individual,Spain,Accountant,63983,Online,N,2021-02-06
C0057,100057,Piotr Patel,Individual,Ireland,Retail Assistant,33195,Online,N,2021-02-23
C0058,100058,Ciara O'Brien,Individual,Ireland,Solicitor,80401,Branch,N,2024-07-24
C0059,100059,Adam Nguyen,Business,Spain,Company Director,178545,Online,N,2023-09-04
C0060,100060,Piotr O'Brien,Individual,Ireland,Electrician,40716,Online,N,2025-03-24
C0061,100061,Ava Silva,Individual,Ireland,Teacher,38071,Online,N,2021-03-01
C0062,100062,Chen Nowak,Individual,Ireland,Consultant,44542,Branch,N,2022-04-07
C0063,100063,Amara Gallagher,Individual,Ireland,Retail Assistant,31445,Online,N,2022-02-19
C0064,100064,Niamh O'Brien,Individual,Ireland,Nurse,39407,Online,N,2025-09-16
C0065,100065,Marek Nowak,Individual,Ireland,Company Director,91296,Online,N,2023-08-20
C0066,100066,Niamh Byrne,Individual,Ireland,Solicitor,84670,Branch,N,2022-12-01
